COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000560709,2018,3315.939220,0,40,31,9,0,66,0,33,0,33,0,33,0,96,51,45,13,28,37,0,1,1,29
7300110000000000560710,2018,928.983551,0,14,13,1,0,14,0,7,0,7,0,7,0,27,13,14,0,0,4,0,3,1,19
7300110000000000560711,2018,3261.197505,0,44,43,1,0,70,0,36,0,36,0,35,1,120,58,62,12,0,40,14,4,1,61
7300110000000000560712,2018,937.275032,0,10,10,0,0,18,0,9,0,9,0,9,0,32,17,15,0,0,15,0,0,1,16
7300110000000000560713,2018,3546.370890,0,33,32,1,0,63,0,32,0,32,0,32,0,97,47,50,19,0,0,0,2,0,95
7300110000000000560714,2018,666.295944,0,13,5,8,0,22,0,11,0,11,0,8,2,27,11,16,0,0,0,0,0,0,27
7300110000000000560717,2018,2022.657526,0,82,4,77,1,154,0,77,0,77,0,75,2,202,79,123,30,0,79,19,1,6,97
7300110000000000560718,2018,2420.448242,0,52,8,44,0,94,0,47,0,47,0,46,0,117,52,65,0,0,35,12,3,0,67
7300110000000000560719,2018,3272.705930,0,65,0,64,0,92,0,46,0,46,0,43,1,115,48,67,17,0,37,0,1,0,77
7300110000000000560802,2018,3017.145041,0,30,26,4,0,46,0,23,0,23,0,23,0,68,33,35,0,36,22,0,1,0,9
7300110000000000560803,2018,3307.410056,0,39,33,6,0,68,0,34,0,34,0,33,0,108,55,53,13,0,48,10,0,1,49
7300110000000000560805,2018,846.285718,0,15,11,2,2,28,0,14,0,14,0,13,0,38,17,21,0,0,15,0,0,0,23
7300110000000000560807,2018,2452.483929,0,19,19,0,0,38,0,19,0,19,0,19,0,66,27,39,8,14,22,14,3,0,13
7300110000000000560808,2018,2079.223342,0,98,2,92,4,148,0,74,0,74,0,68,5,182,82,100,0,46,95,0,0,1,40
7300110000000000560809,2018,1001.554144,0,11,11,0,0,22,0,11,0,11,0,11,0,26,8,18,0,0,0,0,2,0,24
7300110000000000560811,2018,3355.194538,0,37,35,2,0,70,0,35,0,35,0,35,0,120,57,63,11,36,50,0,3,1,30
